Messagenumber;ProducerSendTime;Consumer&ProducerSendTime;ConsumerTime;
0 ;7.652100;27.546800; 
0; ;59.922900;45.291800; 
1 ;10.754200;12.681200; 
1; ;20.212900;2.088200; 
2 ;7.843900;16.459800; 
2; ;21.411900;2.075500; 
3 ;9.218800;15.393300; 
3; ;20.804100;16.947800; 
4 ;9.813000;28.799200; 
4; ;31.132200;17.134400; 
5 ;15.482300;35.340400; 
5; ;15.508100;12.572100; 
6 ;11.580300;32.060300; 
6; ;14.673000;14.670000; 
7 ;12.088400;21.502600; 
7; ;23.468600;15.552300; 
8 ;13.586300;22.207200; 
8; ;15.083700;19.822500; 
9 ;13.255000;19.399400; 
9; ;13.876000;10.545500; 
10 ;16.261600;18.775000; 
10; ;12.804700;16.679200; 
11 ;16.049400;13.206200; 
11; ;18.423500;16.751500; 
12 ;19.043100;19.505100; 
12; ;19.617100;16.911500; 
13 ;16.832700;16.839200; 
13; ;23.341500;25.851700; 
14 ;14.879300;14.306400; 
14; ;20.086300;19.113300; 
15 ;21.755100;13.794400; 
15; ;12.738800;11.843800; 
16 ;27.270400;18.692000; 
16; ;15.071200;16.426000; 
17 ;21.299000;21.111500; 
17; ;14.659500;13.860400; 
18 ;18.574600;16.707400; 
18; ;16.423300;17.395100; 
19 ;20.558500;19.112800; 
19; ;12.573600;17.300500; 
20 ;11.241200;12.344900; 
20; ;14.889200;13.416600; 
21 ;16.536000;13.499800; 
21; ;11.080600;13.167400; 
22 ;10.098300;14.791100; 
22; ;15.551600;14.177400; 
23 ;14.747700;17.194500; 
23; ;16.656600;21.257400; 
24 ;14.179400;16.130000; 
24; ;17.865600;14.615900; 
25 ;13.423500;17.499100; 
25; ;18.779900;14.385300; 
26 ;19.192200;18.532300; 
26; ;14.172800;14.356500; 
27 ;15.430600;17.119000; 
27; ;15.143000;12.382700; 
28 ;14.312900;16.376300; 
28; ;19.184900;24.782500; 
29 ;14.905300;17.485400; 
29; ;19.343300;13.956700; 
30 ;13.061900;15.643200; 
30; ;13.992100;19.277500; 
31 ;14.553900;16.975800; 
31; ;17.601900;15.077500; 
32 ;13.387000;17.909000; 
32; ;20.288000;24.640300; 
33 ;18.878300;20.166600; 
33; ;24.990200;17.308200; 
34 ;10.036400;12.891200; 
34; ;23.291600;24.865600; 
35 ;18.424700;21.300000; 
35; ;14.543600;20.972900; 
36 ;14.610300;15.447100; 
36; ;21.484100;10.432200; 
37 ;9.092400;19.722800; 
37; ;42.499600;47.162400; 
38 ;15.883100;14.051300; 
38; ;10.923900;10.359700; 
39 ;20.842000;15.372000; 
39; ;15.409800;16.511300; 
40 ;12.355600;9.902900; 
40; ;15.578800;12.204000; 
41 ;14.130800;19.992300; 
41; ;17.134000;20.614800; 
42 ;12.648800;38.528200; 
42; ;13.807800;15.080700; 
43 ;15.157800;16.316300; 
43; ;10.699600;11.988000; 
44 ;15.765800;18.824500; 
44; ;18.148700;13.266800; 
45 ;10.548800;20.594300; 
45; ;15.242300;19.293900; 
46 ;15.482200;13.440000; 
46; ;11.275600;12.230500; 
47 ;16.285200;18.931100; 
47; ;17.159400;12.688000; 
48 ;17.208700;19.173700; 
48; ;13.851900;14.705500; 
49 ;13.835400;13.759400; 
49; ;15.524000;8.930100; 
50 ;13.637800;15.943900; 
50; ;15.780700;20.169500; 
51 ;13.558600;16.738100; 
51; ;18.539000;19.299900; 
52 ;21.215800;16.345200; 
52; ;12.098800;16.585100; 
53 ;10.884700;18.454500; 
53; ;17.107800;10.697700; 
54 ;33.305100;17.996200; 
54; ;12.278400;18.846200; 
55 ;10.644900;16.796900; 
55; ;18.791000;12.111800; 
56 ;13.191700;15.924100; 
56; ;17.830700;16.694300; 
57 ;13.870900;15.991200; 
57; ;15.209900;20.379700; 
58 ;8.798700;17.178400; 
58; ;17.684300;23.619100; 
59 ;12.331000;14.950600; 
59; ;16.848100;29.354600; 
60 ;12.348600;12.574000; 
60; ;48.010200;27.462900; 
61 ;16.750700;15.643900; 
61; ;17.052900;24.309900; 
62 ;20.019200;17.374100; 
62; ;19.321100;11.402700; 
63 ;14.867600;21.575000; 
63; ;13.694100;22.617900; 
64 ;12.924400;37.988600; 
64; ;16.111900;13.924600; 
65 ;15.875400;17.632100; 
65; ;22.017800;12.407900; 
66 ;13.862300;19.349700; 
66; ;12.215300;19.004400; 
67 ;16.187400;14.469500; 
67; ;14.071400;13.265500; 
68 ;12.940700;20.209900; 
68; ;15.143200;15.820600; 
69 ;14.810500;15.903100; 
69; ;15.929300;14.405400; 
70 ;12.463100;12.173300; 
70; ;18.429100;20.491300; 
71 ;17.495100;12.068900; 
71; ;16.523500;11.988900; 
72 ;16.843600;12.335700; 
72; ;15.458000;24.811100; 
73 ;17.076400;20.770500; 
73; ;20.572000;15.395800; 
74 ;8.592400;13.359600; 
74; ;15.384700;13.528800; 
75 ;16.283100;22.161000; 
75; ;18.574200;14.634800; 
76 ;11.903100;12.933400; 
76; ;12.732000;22.018400; 
77 ;13.641100;15.123100; 
77; ;22.119500;13.672800; 
78 ;12.113200;16.524300; 
78; ;12.977600;13.036800; 
79 ;46.596100;16.463300; 
79; ;11.753100;18.625900; 
80 ;12.140900;17.609400; 
80; ;14.109100;18.662200; 
81 ;20.402600;23.690000; 
81; ;18.155600;12.953900; 
82 ;15.475500;18.655600; 
82; ;22.176300;12.112300; 
83 ;12.653500;19.837000; 
83; ;15.984100;26.073900; 
84 ;11.558900;16.388900; 
84; ;13.428700;13.542400; 
85 ;16.018100;22.516500; 
85; ;22.498900;16.468800; 
86 ;13.005800;17.798600; 
86; ;16.530900;27.750300; 
87 ;14.072400;14.270600; 
87; ;15.930500;12.162000; 
88 ;15.674200;16.695600; 
88; ;19.470100;11.987300; 
89 ;16.729900;14.861700; 
89; ;12.957600;20.087800; 
90 ;6.923200;12.636900; 
90; ;13.157200;14.177300; 
91 ;11.368900;23.086100; 
91; ;10.602800;10.658300; 
92 ;13.520700;12.820300; 
92; ;12.205100;10.723500; 
93 ;11.686400;14.711600; 
93; ;18.654500;13.597400; 
94 ;9.897000;22.741000; 
94; ;18.341200;17.879900; 
95 ;14.969300;9.288700; 
95; ;15.741400;17.889600; 
96 ;10.722500;18.686500; 
96; ;15.671300;15.176000; 
97 ;16.712800;15.894300; 
97; ;16.681800;16.197100; 
98 ;13.143100;17.842000; 
98; ;11.616900;10.040000; 
99 ;12.580000;12.234400; 
99; ;11.614900;18.613100; 
100 ;14.955900;15.197600; 
100; ;12.001800;12.599900; 
101 ;12.493000;14.775300; 
101; ;15.636800;14.217300; 
102 ;16.953000;15.019900; 
102; ;15.555000;12.719700; 
103 ;15.653100;15.158300; 
103; ;13.592000;14.828200; 
104 ;17.474900;16.042500; 
104; ;18.976100;13.546700; 
105 ;15.198500;11.459600; 
105; ;15.984900;24.458600; 
106 ;12.202800;11.888200; 
106; ;15.439300;20.914300; 
107 ;17.157100;17.291300; 
107; ;20.852300;19.326800; 
108 ;13.083900;15.642200; 
108; ;23.112500;12.702200; 
109 ;13.718200;28.519400; 
109; ;24.324100;25.491600; 
110 ;15.659700;20.653700; 
110; ;15.324900;17.244600; 
111 ;17.148600;19.497300; 
111; ;22.238300;22.563400; 
112 ;15.150000;25.510000; 
112; ;19.711900;21.262000; 
113 ;13.346100;33.175800; 
113; ;21.261800;13.263400; 
114 ;16.927200;21.580300; 
114; ;13.825500;18.139700; 
115 ;13.852100;22.053600; 
115; ;14.724500;9.177500; 
116 ;16.623100;29.257600; 
116; ;25.768900;27.433700; 
117 ;11.481900;15.018100; 
117; ;18.594700;19.771900; 
118 ;13.355400;13.979700; 
118; ;16.704700;21.955000; 
119 ;14.041100;12.730600; 
119; ;19.162500;19.291300; 
120 ;12.868000;21.206700; 
120; ;26.698300;18.050300; 
121 ;16.357100;21.749000; 
121; ;18.000600;18.371400; 
122 ;12.506400;18.800400; 
122; ;19.320700;27.974400; 
123 ;16.015000;18.730300; 
123; ;22.839400;21.315600; 
124 ;9.580600;38.021800; 
124; ;10.532700;28.228700; 
125 ;15.260300;13.724900; 
125; ;32.074100;21.479400; 
126 ;14.504500;43.763800; 
126; ;31.422400;22.293400; 
127 ;10.445600;12.033100; 
127; ;20.153400;18.758600; 
128 ;13.786300;17.376800; 
128; ;26.523500;31.000800; 
129 ;14.722400;11.512000; 
129; ;19.412700;26.562100; 
130 ;20.406800;19.566100; 
130; ;27.400100;24.840700; 
131 ;18.252500;17.063100; 
131; ;10.295800;8.937400; 
132 ;15.064000;46.895200; 
132; ;39.134500;33.410600; 
133 ;16.729100;32.992100; 
133; ;15.311600;41.556700; 
134 ;15.269900;16.650300; 
134; ;53.290100;22.588800; 
135 ;14.645500;35.982300; 
135; ;17.929900;18.065400; 
136 ;16.280300;20.617700; 
136; ;18.963500;15.121800; 
137 ;20.892200;19.637100; 
137; ;25.322000;32.205000; 
138 ;22.485100;17.158200; 
138; ;19.682000;14.835900; 
139 ;18.960500;26.571200; 
139; ;14.487000;20.363000; 
140 ;13.374200;15.191300; 
140; ;17.103200;14.995500; 
141 ;16.167400;12.361400; 
141; ;19.663600;24.134000; 
142 ;8.607600;16.865200; 
142; ;18.795600;13.614400; 
143 ;9.753400;17.022600; 
143; ;13.451500;13.372800; 
144 ;19.520200;22.625200; 
144; ;13.301600;16.751600; 
145 ;19.123500;14.440700; 
145; ;17.754100;14.584100; 
146 ;18.129500;17.795700; 
146; ;15.964100;21.110600; 
147 ;18.137100;15.332300; 
147; ;16.869000;15.268400; 
148 ;22.393500;17.125800; 
148; ;18.926000;14.945900; 
149 ;12.270200;13.946000; 
149; ;16.764800;19.307700; 
150 ;7.367100;16.716600; 
150; ;18.910400;17.184700; 
151 ;27.398700;22.691600; 
151; ;19.499900;20.320500; 
152 ;27.225900;18.792500; 
152; ;16.027300;22.540900; 
153 ;23.638200;16.765800; 
153; ;14.827300;15.711000; 
154 ;21.966700;18.600400; 
154; ;18.596700;5.809300; 
155 ;18.814000;10.947700; 
155; ;18.292500;26.355800; 
156 ;12.306600;17.474000; 
156; ;19.176500;17.090300; 
157 ;15.182400;17.618100; 
157; ;18.306100;18.138300; 
158 ;15.988800;15.839900; 
158; ;15.307500;16.791200; 
159 ;12.576100;15.686300; 
